"","...1","player","season","team","possessions","id","ast_100","fga_100","fta_100","mid_100","rim_100","three_100","pps","ppp_100","three_pps","rim_pps","mid_pps","stl_100","blk_100","fls_100","oreb_100","dreb_100","tot_reb_100","assisted_percentage","ast_percentage","rim_rate","three_rate","mid_rate","perim_rate","clusters","Hybrid","Perimeter","Interior","clusters_Hybrid","all_around","three_level_scorer","off_ball_wing","in_and_out_facilitator","clusters_perimeter","perimeter_scorer","spotup_shooter","perimeter_playmaker","stretch_shooter","clusters_interior","interior_facilitator","rim_roller","slasher","rebounder"
"1",9,"CHANDLER LAWSON","NCAA 2022/2023","Memphis Tigers",1191.5904,23416,1.88162129439271,10.9775336598468,3.47274587629745,1.75785443141094,6.07118977288084,1.12267826602874,0.990142156881243,14.0091570345273,0.818433179723502,1.10158837772397,0.53359096313912,1.51349534436273,0.889769034181196,6.88652594638048,2.55505538502622,7.1909535790748,10.0297651637977,0.528264894690923,0.055310022467088,0.553055901353126,0.160132001037789,0.10227053733711,0.321785299643739,3,0.00613073771614702,0.00190701734409816,0.991962244939755,3,0.0011514818572214,0.000140600635862867,0.00472622065938002,0.000112434563682741,4,0.000454069060693683,0.000347318858045762,3.31599898864753e-05,0.00107246943547224,2,0.0172175079782922,0.559766212091176,0.232917219356115,0.182061305514171
"2",10,"CHARLES CHUKWU","NCAA 2022/2023","Tulsa Golden Hurricane",401.8944,171098,1.04895602509456,10.2703798989712,2.47308321313077,1.95549169544028,4.28417623816011,0.907720361304642,0.896586116561754,11.85767816744,0,1.03740560496728,0,1.3730373350215,0.754417628217199,8.35301916622959,1.88137211409781,5.46173734962597,7.78054817165272,0.362074687937754,0.0329863907387165,0.417139023123115,0.190401106354028,0.0883823549112894,0.400595565625831,3,0.398448988918536,0.0708055416256512,0.530745469455813,3,0.0605048908720403,0.0187087405502071,0.302218282938761,0.0170170745575276,4,0.00576616862361138,0.00619722625626614,0.00132645864294005,0.0575156881028336,2,0.00985417179224491,0.431656462222328,0.042738628825285,0.0464962066159548
"3",15,"COLLIN HOLLOWAY","NCAA 2022/2023","Tulane Green Wave",789.0816,95579,1.64174748647505,12.9927199990689,4.12187238519543,1.76194700107887,6.85357435758624,1.90949612682973,0.986350417982114,16.7940185553893,0.791129032258065,1.11986646122239,0.43064263322884,1.35590024519594,0.433541939841443,6.60032718807151,1.26983779613632,5.83311219790304,7.44860209175404,0.361261992862582,0.0514048019832722,0.527493423861778,0.135610326490923,0.146966618765476,0.348830121467108,3,0.0628406690855194,0.0169174318548968,0.920241899059584,3,0.018020735777453,0.00521982626633758,0.0345197664811763,0.00508034056055251,4,0.00248260199378911,0.00153412612297045,0.000736497967532775,0.0121642057706045,2,0.0400005907234726,0.661827741779199,0.134592866577574,0.0838206999793387
"4",26,"DEANDRE WILLIAMS","NCAA 2022/2023","Memphis Tigers",1850.8416,10365,4.10366538163325,19.4958791146923,6.19394251382016,2.66638871291614,12.3998444850493,2.86324536571405,1.06265379145008,25.9679258803747,1.03351814516129,1.1197442759441,0.708569222851261,2.09905139020906,1.20397979194084,6.32239244508382,3.11080443206693,8.48415007057292,11.8143608667947,0.382138502444858,0.14111112553461,0.636023870075429,0.136766785289857,0.146864132100423,0.308410200496951,3,4.24147576024535e-05,1.40096056845078e-05,0.999943575636713,4,6.46239608993447e-06,1.44952085397678e-05,3.34210569336465e-06,1.81150472793866e-05,1,6.38341746879587e-06,2.26400244324156e-06,3.58168018760356e-06,1.78050558486686e-06,3,0.254677364830673,0.126671815055755,0.457631576101596,0.160962819648688
"5",29,"EFE ODIGIE","NCAA 2022/2023","SMU Mustangs",1421.9904,10953,1.90844525621261,16.3325952678979,5.57101607245086,3.45062893805603,10.2279586194808,0.816539564859892,0.930977498126547,20.1718752894084,0.696774193548387,1.04376015788252,0.60632183908046,1.00961258308908,0.322818289407061,6.24627414690173,3.245610207756,8.01543322350494,11.5184183439511,0.419122907459566,0.0673942102499984,0.626229846005187,0.211272543123524,0.0499944773911601,0.29438641461258,3,0.00351311503160575,0.00122783394921277,0.995259051019182,2,0.00104593803332628,0.00208697920920287,0.000219244184412593,0.000160953604664013,2,0.000118157198092862,0.00101818910949588,9.52116880336115e-06,8.1966472820665e-05,4,0.00762375866475947,0.0658872585183425,0.0938597212699498,0.82788831256613
"6",30,"ELIJAH MCCADDEN","NCAA 2022/2023","Memphis Tigers",1452.4416,5337,2.60280379112231,12.4669935725233,4.26765529671752,1.73451956655415,7.23370798074632,1.68360216913793,0.97788795926999,15.7414580552226,0.761957730812013,1.10353620955316,0.529519331243469,0.997357300565254,0.43848712540571,6.011003264567,2.36910126132135,5.60611406708238,8.22946607017686,0.465483501837398,0.0770316056667473,0.58022874068766,0.139128937258535,0.135044761140209,0.320895266511543,3,0.00536397052404414,0.00167553214711789,0.992960497328838,1,0.00313979558870112,0.000458898888419087,0.00129805839615296,0.00046721765077097,1,0.00140000940676123,8.39109068724484e-05,2.78898729698769e-05,0.00016372196051433,3,0.0166902915471949,0.0983148839571882,0.827439802134628,0.0505155196898268
"7",35,"EZRA AUSAR","NCAA 2022/2023","East Carolina Pirates",1152.96,172628,1.37132760171904,15.6508672294949,7.1095182166488,1.8338597188397,11.1566585403638,0.599113245812694,0.99523566957105,20.4556266863385,0,1.0904490038656,0.51580459770115,1.76629323654628,0.633729643952,7.45961185141725,3.1429314352836,7.18089964528761,10.6125492093292,0.408125424062907,0.0482150316292263,0.712846028067918,0.11717304172025,0.0382798752955769,0.179031562684709,3,0.123559014005363,0.0588166746862358,0.817624311308401,2,0.0171036599821815,0.0897940247064162,0.00797485380431426,0.00868647551245123,2,0.00611748264325549,0.041286981985317,0.000818339902061331,0.010593870155602,4,0.0110365206852385,0.146143341629297,0.0824684989561021,0.577975950037764
"8",45,"JAHLIL WHITE","NCAA 2022/2023","Temple Owls",1169.0496,118105,3.24885453083835,11.7178794995384,4.27188827707441,2.22505188657618,5.9079931826388,1.53850251606328,0.858554033406059,13.746612729103,0.497345855451205,1.01634097706879,0.70446507515473,1.34907008372268,0.763964758079217,7.13604034344023,1.8169724013725,7.39861261304111,9.50221556039466,0.33695995964713,0.103065302183423,0.50418620390076,0.189885199507627,0.131295301007651,0.389136730130784,3,0.301533200247424,0.0600699135157876,0.638396886236789,4,0.0909742697378013,0.0358144857146483,0.0765957419428157,0.0981487028521585,1,0.0316337981933312,0.00611471923271969,0.0107125349768535,0.0116088611128832,3,0.11279401801534,0.122650488913159,0.338142017568199,0.0648103617400904
"9",52,"JAMES ROJAS","NCAA 2022/2023","Wichita St. Shockers",1282.9056,170183,2.36393689531987,14.3538833877198,7.01381832704297,1.51822323288329,8.52753357811918,2.36140058298495,0.926313797128298,19.4474914068464,0.692903225806452,1.04528557185586,0.458965517241379,2.05293380984712,0.513020122372947,7.25895953324984,2.02779237328029,8.53479125068074,10.835262328022,0.419825132207338,0.0752728470305943,0.594092438107358,0.105770904770076,0.164513011510543,0.312692399449073,3,0.000812821498686154,0.000263549819877591,0.998923628681436,2,0.000134025523822439,0.000468487630889085,6.90545622434698e-05,0.000141253781731161,1,0.000115266532357003,2.46837050711311e-05,9.47845757640257e-06,0.000114121124873055,2,0.0359477149658058,0.434473626400423,0.434347881407867,0.0941544059073408
"10",53,"JAMILLE REYNOLDS","NCAA 2022/2023","Temple Owls",736.704,101775,1.68970965489671,15.7148798134251,4.688496635738,2.42695596862412,9.84259205839579,0.905537575084889,1.00972979768066,20.0176614112732,0.693283976731888,1.13850216791486,0.59012539184953,1.00508010374276,1.50595023023235,7.51823692703577,2.64555738609228,7.3979196580481,10.3992270553664,0.354209987665398,0.0619691555274236,0.626323088388329,0.154436813862923,0.0576229399038291,0.252939043005279,3,0.0422677611664925,0.0169451513760752,0.940787087457432,1,0.0377466654246356,0.00155642316492717,0.00237349837119033,0.000591174205739364,4,0.00294218191358751,0.00401253170998677,0.000271080312376889,0.00971935744012402,2,0.0148212853613992,0.54531037051032,0.159587615146586,0.221067816439128
