"","player","season","team","possessions","id","ast_100","fga_100","fta_100","mid_100","rim_100","three_100","pps","ppp_100","three_pps","rim_pps","mid_pps","stl_100","blk_100","fls_100","oreb_100","dreb_100","tot_reb_100","assisted_percentage","ast_percentage","rim_rate","mid_rate","three_rate","perim_rate","clusters","Hybrid","Perimeter","Interior","clusters_Hybrid","off_ball_wing","all_around","three_level_scorer","in_and_out_facilitator","clusters_perimeter","stretch_shooter","perimeter_scorer","spotup_shooter","perimeter_playmaker","clusters_interior","rim_roller","interior_facilitator","rebounder","slasher"
"1","ABDUL ADO","NCAA 2021/2022","Cincinnati Bearcats",842.0736,6207,1.73006742862948,9.63295648729181,3.45379065195639,1.7455203769753,4.83268601116656,0.847282127620618,0.883213373577897,11.1648647814187,0,0.988242210464433,0.533333333333333,2.07967923254659,2.50823058254682,7.58039220163834,3.22222053393914,7.3063147860941,10.8572289662258,0.319647206178654,0.0514844935914229,0.50168253303563,0.181202975356326,0.087956602808119,0.349176017051543,3,0.00433989722728031,0.00139619834488682,0.994263904427833,2,0.00160359159402507,0.00231137200844868,0.000218531968199869,0.000206401656606685,3,0.000146434295068473,7.17224197550924e-05,0.00116592667240222,1.21149576610274e-05,3,0.102850125813733,0.00847203288958522,0.833034654794193,0.0499070909303219
"2","ALANZO FRINK","NCAA 2021/2022","East Carolina Pirates",685.8624,6354,1.88741070270756,13.7693643561529,5.16518273819887,3.06867114011219,7.01880419250444,1.27365995315303,0.856086286594761,16.3138956545246,0.67687074829932,0.964862298195632,0.517073170731707,1.3955168401038,0.407540735070465,7.68759996189055,1.8268866035093,5.46733274739327,7.65280647616121,0.424352221612138,0.0653225033087627,0.509740610456581,0.222862222303018,0.0924995461089601,0.382209258497624,3,0.0797555870978823,0.0214340662463935,0.898810346655724,2,0.016083919693401,0.0334037825965688,0.0170910991320452,0.0131767856758673,1,0.0171387256313993,0.00286505494930424,0.00107965173743991,0.000350633928250063,1,0.719555126556576,0.0146586303172698,0.0454199130605236,0.119176676721355
"3","ANTHONY PRITCHARD","NCAA 2021/2022","Tulsa Golden Hurricane",911.424,149917,4.91042897988218,13.0973530275688,2.81590794097371,2.86685035796711,6.2040718286374,1.89774542352157,0.783016139295424,12.927804832513,0.623626373626374,0.875118708452042,0.527272727272727,1.74814733551237,0.308772010256961,6.22915275983966,0.894356296576152,5.55316090801608,6.76448006905068,0.261300444552649,0.152726203866105,0.473688982466791,0.218887767011597,0.144895340266616,0.434382365374085,3,0.450544719190085,0.0772554472853608,0.472199833524554,4,0.103824452858998,0.0788676205825151,0.0494421584511568,0.218410487297415,4,0.00227956214320318,0.0046688552487029,0.00167968668004234,0.0686273432134124,2,0.0137955111511867,0.419811474187711,0.0101727480199935,0.028420100165663
"4","ARASHMA PARKS","NCAA 2021/2022","Temple Owls",305.4336,22738,1.37740528377916,11.4049022491699,2.59635303834051,2.29646343864937,4.75297609240248,1.26209610518251,0.80326559588251,11.5324361071656,0.631773399014778,0.894126449682005,0.378947368421053,1.19427018136228,0.149567274354913,8.9773069236307,2.49620036437722,5.52710793399843,8.48391292056265,0.376705614846416,0.042889822817499,0.416748516432785,0.201357573127514,0.110662597329527,0.428147059650234,3,0.394558786645144,0.0725729278946722,0.532868285460184,1,0.308726941742422,0.0582564262246704,0.0122985094374155,0.0152769092406365,1,0.0599173020425209,0.00445558616271629,0.00745361525765375,0.000746424431781321,1,0.44141421108936,0.00535064507372495,0.0542705240068345,0.0318329052902644
"5","BAYRON MATOS","NCAA 2021/2022","South Fla. Bulls",448.2432,44675,1.44719803151681,11.2503553240922,2.54852593403192,2.07487093078938,5.30786062033056,1.07274519775345,0.816701116163704,11.7709883303895,0,0.899285250162443,0.378947368421053,0.876328908317457,0.337837720964248,7.84079001218187,2.52560483018016,6.34513192586368,9.28689628424652,0.320675566814939,0.0461236269349497,0.471794931575539,0.18442714661164,0.0953521170532463,0.372257676536361,3,0.0448221498157823,0.0127921188040132,0.942385731380205,1,0.0348012131049913,0.00675266111413626,0.00144117207170527,0.00182710352494947,1,0.0105584841303597,0.000785221513346476,0.00132395170374591,0.000124461456561174,1,0.778118603393515,0.00912906641582753,0.0978818367368081,0.057256224834054
"6","BRANDON JOHNSON","NCAA 2021/2022","East Carolina Pirates",833.9712,147504,2.00557251687124,12.6227001883532,3.46878961520234,2.18188767214498,6.6224192620978,1.60133879216862,0.913955214648027,14.6436464791092,0.642857142857143,1.08502212904729,0.386206896551724,1.17753854264421,0.857573859063156,7.02372995225666,2.70023018320916,8.51720837023141,11.5475596352873,0.484829691594486,0.0664648731615338,0.52464363117871,0.17285427361716,0.126861825780047,0.363574406027595,3,0.0236105730886746,0.00706972748198001,0.969319699429345,1,0.0139538060574349,0.00810368728958484,0.000682408926309207,0.000870670815345635,1,0.00355614946955997,0.00154673894007796,0.00181917403219075,0.000147665040151337,1,0.488651826058074,0.0201920968446873,0.250896780698162,0.209578995828422
"7","BRANDON SUGGS","NCAA 2021/2022","East Carolina Pirates",1163.0592,22354,3.52733533089543,13.9194012222915,6.00133068764361,2.4470428441456,6.81407140594442,2.77365484022778,0.85297595585337,17.1408719362334,0.71218487394958,0.954154154154154,0.552380952380952,2.09446539510554,0.637866533418899,5.69722943314254,1.38412319442962,5.64548263202869,7.31022897260568,0.468588782273568,0.113614334417673,0.489537681766936,0.17580086995601,0.199265384762805,0.433801234173535,3,0.445291983138091,0.0768757058615434,0.477832311000365,4,0.0404559054600385,0.0592130103760091,0.0938867868194863,0.251736280482557,2,0.0108988477031052,0.0377274974323524,0.00593233611010119,0.0223170246159846,4,0.0673892776608372,0.137142711291509,0.0367313284804617,0.236568993567557
"8","CHEIKH DIONG","NCAA 2021/2022","UCF Knights",1182.1824,13308,1.69013356927864,12.3537833896709,3.5555709329146,1.8387176569613,7.92959100943841,0.717121353086169,0.985332464146024,15.4119231751341,0,1.12094084605933,0.455172413793103,1.30851224958299,1.98740732466702,6.32554407719737,3.72092175641697,6.95176947030877,10.9508904529627,0.413425121429865,0.0546528236539804,0.6418755096571,0.148838424550868,0.0580487232507056,0.243751472786309,3,0.0896187476669808,0.0405838522570994,0.86979740007592,2,0.0248822057624638,0.0513053075316632,0.00755682216505261,0.00587441220780111,3,0.000670364248367391,0.000451194985871671,0.0393585260923299,0.000103766930530437,3,0.0133785121915444,0.00205322879551628,0.845444456102714,0.00892120298614519
"9","CJ WALKER","NCAA 2021/2022","UCF Knights",1204.4544,23418,1.98632973961021,14.0194828028154,5.48777185154664,2.58061882465545,7.31399283348082,2.27512601540325,0.927340138674884,17.1366014005218,0.822204968944099,1.05788200260562,0.417391304347826,0.803576523344063,1.16268061116389,5.50232930383367,2.4764633921103,7.64274617079985,10.3946380080384,0.500754414379885,0.0636321340912923,0.521702043959285,0.184073753714882,0.162283163181053,0.399001603018648,3,0.167167613311675,0.0399950256043409,0.792837361083984,3,0.0188699409900798,0.0630044678653709,0.0658519484874198,0.0194412559688043,1,0.0272010084416375,0.00725219346363164,0.00490464178928083,0.000637181909790853,1,0.541003630733979,0.0125402088121692,0.0976621105267971,0.141631411011039
"10","DARIEN JACKSON","NCAA 2021/2022","Tulsa Golden Hurricane",1423.0656,7705,2.90931528816131,13.7893986056451,4.59170379749678,1.41387389816826,7.72179383818374,2.96871249094837,1.04621678730387,18.5027883411423,0.926691729323308,1.14008230452675,0.48695652173913,1.62821000792021,0.244416816002082,5.827048933994,1.84856366607691,4.43649048807061,6.53595466179833,0.337231088004445,0.0983973329700819,0.559980464631911,0.102533398199792,0.215289482583602,0.362066153476581,3,0.0207227427305113,0.00625457636059568,0.973022680908893,4,0.00374955385893069,0.00560422712985767,0.00233210395220572,0.00903685778951717,2,0.000521976644609795,0.00530382014036359,0.000215646031102739,0.000213133544519558,4,0.0804166292361211,0.0326810662493991,0.0332640863769815,0.826660899046391
